TEAM,DATE,HOME / AWAY,OPPOSING TEAM,TOTAL POINTS GAINED,FINAL SCORE,TRIES,PENALTY TRY,CONVERSIONS,PENALTY KICK,DROP GOAL,KICK SUCCESS,METERS RUN,KICKS FROM HAND,PASSES,RUNS,POSSESSION 1H,POSSESSION 2H,TERRITORY 1H,TERRITORY 2H,CLEAN BREAKS,DEFENDERS BEATEN,OFFLOADS,RUCKS,RUCKS WON,MAULS,MAULS WON,TURNOVER CONCEDED,SCRUMS,SCRUMS WON,PACK WEIGHT,LINEOUTS,LINEOUTS WON,TACKLES MADE,TACKLES SUCCESS,PENALTIES CONCEDED,RED CARD,YELLOW CARD,FREE KICKS CONCEDED
FRA,06/02/21,AWAY,ITA,5,50,7,0,6,1,0,88.00%,484,34,104,94,34.00%,45.00%,32.00%,47.00%,14,28,9,58,54,5,5,10,6,5,933,13,12,180,161,9,0,0,1
ENG,06/02/21,HOME,SCOT,1,6,0,0,0,2,0,100.00%,219,35,85,70,27.00%,41.00%,26.00%,34.00%,0,11,2,60,56,10,9,13,5,5,956,13,11,192,163,15,0,1,2
SCOT,06/02/21,AWAY,ENG,4,11,1,0,0,2,0,40.00%,340,43,118,134,73.00%,59.00%,74.00%,66.00%,11,29,4,117,116,8,7,12,6,6,913,15,15,103,92,6,0,1,1
WALES,07/02/21,HOME,IRE,4,21,2,0,1,3,0,80.00%,232,28,131,95,36.00%,36.00%,28.00%,36.00%,3,17,5,83,78,2,1,13,5,5,925,15,11,271,245,11,0,0,0
IRE,07/02/21,AWAY,WALES,1,16,1,0,1,3,0,100.00%,536,35,262,189,64.00%,64.00%,72.00%,64.00%,7,26,3,168,165,4,4,18,5,5,904,9,7,127,110,11,1,0,0
ENG,13/02/21,HOME,ITA,5,41,6,0,4,1,0,71.00%,561,21,198,147,60.00%,53.00%,69.00%,59.00%,14,31,4,107,102,7,7,14,4,3,960,9,9,111,99,12,0,0,1
ITA,13/02/21,AWAY,ENG,0,18,2,0,1,2,0,75.00%,325,21,122,92,40.00%,47.00%,31.00%,41.00%,5,12,5,78,74,5,4,13,8,7,904,16,15,215,184,11,0,0,1
SCOT,13/02/21,HOME,WALES,1,24,3,0,3,1,0,100.00%,508,26,168,145,49.00%,72.00%,52.00%,74.00%,11,27,5,120,115,7,7,10,7,6,913,3,2,110,104,11,1,0,0
WALES,13/02/21,AWAY,SCOT,5,25,4,0,1,1,0,40.00%,188,27,118,81,51.00%,28.00%,48.00%,26.00%,7,6,4,66,63,8,7,9,11,9,920,12,11,206,179,12,0,0,0
IRE,14/02/21,HOME,FRA,1,13,1,0,1,2,0,75.00%,365,41,192,133,61.00%,57.00%,69.00%,49.00%,4,24,3,115,112,3,3,16,7,7,910,9,9,132,107,5,0,0,0
FRA,14/02/21,AWAY,IRE,4,15,2,0,1,1,0,40.00%,374,32,110,97,39.00%,43.00%,31.00%,51.00%,11,25,12,74,69,3,2,18,6,6,936,18,15,201,177,9,0,1,0
ITA,27/02/21,HOME,IRE,0,10,1,0,1,1,0,100.00%,214,17,157,108,54.00%,38.00%,54.00%,30.00%,5,12,6,97,91,3,2,11,7,4,904,13,12,179,154,10,0,2,0
IRE,27/02/21,AWAY,ITA,5,48,6,0,6,2,0,100.00%,532,17,144,134,46.00%,62.00%,46.00%,70.00%,9,25,5,106,104,9,6,11,2,1,903,14,13,147,135,10,0,0,3
WALES,27/02/21,HOME,ENG,5,40,4,0,4,4,0,100.00%,244,36,126,93,57.00%,52.00%,57.00%,53.00%,4,10,0,84,82,9,8,10,3,3,915,17,16,130,111,9,0,0,1
ENG,27/02/21,AWAY,WALES,0,24,2,0,1,4,0,71.00%,388,24,128,91,43.00%,48.00%,43.00%,47.00%,10,19,2,77,70,2,2,12,5,5,959,5,4,128,118,14,0,0,0
FRA,26/03/21,HOME,SCOT,4,23,3,0,1,2,0,60.00%,435,20,136,116,56.00%,30.00%,57.00%,24.00%,9,20,7,77,72,5,5,12,4,4,928,13,12,215,199,15,0,1,0
SCOT,26/03/21,AWAY,FRA,1,27,3,0,3,2,0,100.00%,280,26,147,147,44.00%,70.00%,43.00%,76.00%,2,16,7,127,123,14,13,5,3,2,914,20,18,143,123,15,1,1,0
ITA,13/03/21,HOME,WALES,0,7,1,0,1,0,0,100.00%,348,17,214,135,47.00%,59.00%,43.00%,63.00%,5,16,6,110,108,5,5,20,3,3,902,16,14,146,129,10,0,2,0
WALES,13/03/21,AWAY,ITA,5,48,7,0,5,1,0,75.00%,528,27,191,120,53.00%,41.00%,57.00%,37.00%,12,17,7,88,86,11,11,10,8,8,911,13,13,181,165,8,0,0,0
ENG,13/03/21,HOME,FRA,4,23,2,0,2,3,0,100.00%,533,31,169,128,54.00%,64.00%,57.00%,70.00%,10,28,8,95,87,9,8,11,6,6,947,14,14,119,90,12,0,0,1
FRA,13/03/21,AWAY,ENG,1,20,2,0,2,2,0,100.00%,402,32,125,95,46.00%,36.00%,43.00%,30.00%,9,29,6,64,61,1,1,16,3,3,952,16,14,172,144,8,0,0,0
SCOT,14/03/21,HOME,IRE,1,24,3,0,3,1,0,80.00%,325,22,123,113,39.00%,51.00%,34.00%,55.00%,6,25,5,92,86,2,1,16,5,4,903,8,2,160,147,11,0,0,1
IRE,14/03/21,AWAY,SCOT,4,27,2,0,1,5,0,86.00%,298,31,158,113,61.00%,49.00%,66.00%,45.00%,3,13,4,99,94,6,5,11,3,4,906,11,9,176,151,9,0,0,1
SCOT,20/03/21,HOME,ITA,5,52,8,0,6,0,0,75.00%,721,17,229,166,70.00%,64.00%,77.00%,67.00%,17,48,13,129,125,9,9,5,5,5,910,17,15,108,102,12,0,0,0
ITA,20/03/21,AWAY,SCOT,0,10,1,0,1,1,0,100.00%,228,10,112,79,30.00%,36.00%,23.00%,33.00%,5,6,6,60,58,3,3,9,5,4,896,14,10,247,199,16,0,3,0
IRE,20/03/21,HOME,ENG,4,32,2,0,2,6,0,100.00%,216,27,115,93,62.00%,45.00%,62.00%,39.00%,4,10,3,79,75,3,3,6,5,5,897,11,10,105,92,12,1,1,1
ENG,20/03/21,AWAY,IRE,0,18,2,0,1,2,0,75.00%,213,16,86,75,38.00%,55.00%,38.00%,61.00%,5,13,4,59,55,13,7,11,5,3,947,17,17,125,115,14,0,0,2
